location,Magnitude,Magnitude_Error
"(1495, 634)",-12.171180771187982,0.023292059683725243
"(1938, 675)",-12.069857223919138,0.02361407465232602
"(2300, 446)",-12.191832762890257,0.023230032584568714
"(578, 1772)",-12.136630868860152,0.023398503027386497
"(2263, 704)",-12.02316462746125,0.023772890124384643
"(1654, 966)",-11.822784409819198,0.024537600371720224
"(4330, 1365)",-12.051837356187631,0.023674557656749282
"(3373, 894)",-11.890199731274357,0.024264421420359374
"(3845, 2278)",-11.850199904627042,0.02442445769422042
"(4315, 577)",-11.419110357108293,0.026581060235128122
"(1561, 1932)",-11.318621823090451,0.0272192366667918
"(288, 1798)",-11.382797640559971,0.026804887542428473
"(2431, 360)",-11.315724101162411,0.027238529825638295
"(3597, 365)",-10.98427065932361,0.029822719557427546
"(4222, 583)",-10.961422376351344,0.030031619665184663
"(3206, 855)",-11.0143474920508,0.02955434703681481
"(1741, 684)",-10.932558121697166,0.030301886481452486
"(2356, 668)",-10.66470462973262,0.033184332793654646
"(1688, 1001)",-10.641737383905445,0.0334661998384056
"(1653, 1931)",-10.622794207709907,0.033703210388129734
"(2334, 1284)",-10.558821117268872,0.034534883720930235
"(2513, 391)",-10.295086211883639,0.038531284514517414
"(3540, 518)",-10.259824688049568,0.039143005911360225
"(3716, 405)",-10.204175706531549,0.04014975296402866
"(829, 1868)",-10.41556407460753,0.03658495810639582
"(2591, 1029)",-10.19527463109703,0.04031562352711729
"(3333, 555)",-10.091269590381591,0.04235795988087679
"(1175, 574)",-10.364585956743843,0.03738223535546671
"(3240, 1815)",-9.915679604026588,0.04628259041211102
"(4211, 348)",-9.899638622733972,0.04667377967457989
"(1555, 2055)",-9.911310530404268,0.046388566361966685
"(2322, 1005)",-9.818648364499651,0.046440428564859526
"(2862, 2078)",-9.83830241787171,0.0482240310690134
"(2277, 2298)",-10.062938527825034,0.04294904394282935
"(3620, 2154)",-9.75060829724913,0.05059825712327426
"(1422, 909)",-9.67313344603744,0.05286144301168552
"(3850, 603)",-9.603621888400378,0.05503412323603189
"(3936, 501)",-9.532639833387305,0.057401074158849846
"(3976, 2280)",-9.398399046487686,0.06232338451641302
"(1296, 520)",-9.4729259425236,0.05951569563430595
"(610, 1312)",-9.481609143591209,0.059200928277981624
"(1803, 1106)",-9.386515385919767,0.06278916920549071
"(3295, 1913)",-9.291472825507967,0.06670365596218872
"(3522, 1663)",-9.192094740328688,0.07118021577578972
"(2408, 1919)",-9.135100921219257,0.07393859630196985
"(2376, 794)",-9.374274712809006,0.06327430717834208
"(2660, 1344)",-9.122282218693515,0.0745791944110905
"(3660, 2319)",-8.287119247289976,0.0906713780918728
"(3423, 844)",-9.241434634102609,0.06890645173911343
"(1706, 1998)",-9.0119237381808,0.08041857992169753
"(2697, 1132)",-9.292304115932149,0.06666791114429718
"(3096, 896)",-9.065549027926469,0.07750695834195938
"(2866, 1662)",-9.404685430947772,0.06207904127112368
"(3353, 640)",-9.439766459637049,0.060741163241692875
"(839, 258)",-9.239053166402833,0.0690138415088421
"(4160, 2304)",-8.895218480785067,0.08727483114017384
"(1764, 1880)",-8.949858604861051,0.0839729778141713
"(1667, 2077)",-8.933849212410058,0.0849232607058457
"(2696, 1310)",-8.92708941322646,0.08532873419044633
"(2587, 2009)",-8.823199067956953,0.09188865884518059
"(748, 2099)",-9.14561463268531,0.07341880341880343
"(956, 2139)",-8.857917566373622,0.08962624630980895
"(2557, 2114)",-8.837189148478073,0.09096829136741703
"(1164, 852)",-9.074725894322153,0.07702294603348388
"(1064, 1237)",-8.765462010546008,0.09581501137225171
"(2223, 1632)",-8.698264130552355,0.10065556846044652
"(940, 2052)",-8.702529191160776,0.10033935342888362
"(3391, 1067)",-8.791616971220224,0.09401047988395157
"(3905, 513)",-8.807665376449572,0.09292456682807304
"(574, 1248)",-8.883291067714051,0.08801795674057951
"(3061, 2139)",-8.414312603107872,0.12476469848719776
"(294, 627)",-8.71969862239108,0.09907888909976593
"(3536, 2200)",-8.423419547278872,0.12388962765957447
"(1605, 911)",-8.437539718403928,0.12254727429344928
"(3032, 1856)",-8.339690499024508,0.13221833198671334
"(3479, 1141)",-8.515918976899757,0.11540528163639138
"(2161, 1969)",-8.586537059160667,0.10939746111210442
"(1728, 1323)",-8.785395709115173,0.0944357768117668
"(2791, 322)",-8.427877134740438,0.12346397384430742
"(2114, 1012)",-8.349780515820026,0.13118028995819622
"(3953, 546)",-8.641606670978778,0.1049762066621346
"(2010, 1660)",-8.686642828347201,0.10152351138068219
"(1402, 250)",-7.55205037359641,0.15908205841446452
"(1982, 1976)",-8.348137583869088,0.1313486549082487
"(2420, 969)",-8.276994920865969,0.13888910024728932
"(1956, 1906)",-8.661354522568574,0.10344459279038719
"(2370, 1879)",-8.556142806719246,0.11193542455779061
"(2886, 1170)",-8.342464892019645,0.13193194537721065
"(1562, 1963)",-8.53867469887953,0.11342651070667813
"(910, 1105)",-8.569949263059097,0.1107737554918122
"(294, 687)",-8.446057079808693,0.1217459606853608
"(3355, 1791)",-8.1222644191245,0.15709898546750753
"(4094, 490)",-8.138222723577828,0.15509862199405564
"(2698, 1866)",-8.121430520308731,0.15720432468031392
"(1560, 2090)",-8.50901905666037,0.11601351870343345
"(4070, 1366)",-8.113896468610546,0.15815971262779774
"(4360, 2105)",-7.572395433460519,0.15650013650013647
"(3177, 563)",-8.164882117597026,0.15182177695755336
"(1936, 1073)",-8.487159129767107,0.11796622124691407
"(757, 1012)",-8.385963992384866,0.1275361321403992
"(2485, 1516)",-8.053505694529738,0.16606216405702265
"(251, 2230)",-7.9854449937999945,0.14440905697934808
"(1499, 1580)",-8.196533212437467,0.14803441565092695
"(461, 1799)",-8.335540032887513,0.13264813229396655
"(1104, 717)",-8.320862373820361,0.13418131993605847
"(4284, 2125)",-8.0922616264042,0.16094035404216936
"(2907, 975)",-7.978330274204266,0.17653371736271992
"(2670, 828)",-8.121847549776028,0.15715163484748737
"(1250, 404)",-7.936614026490009,0.18266510508165787
"(3260, 1882)",-8.22018373816786,0.14527560633393466
"(854, 1733)",-8.321060708972716,0.13416046394812547
"(1010, 1177)",-8.11299606534836,0.15827433628318585
"(2585, 1110)",-8.265628025503,0.1401403238983132
"(3224, 908)",-8.096537867476583,0.1603863432165319
"(927, 1034)",-8.226909271182453,0.1445019920318725
"(1290, 1872)",-8.038302456372113,0.1681218153809693
"(2402, 871)",-7.871621436090406,0.19269964078474713
"(2777, 613)",-8.305430431811516,0.13581580654127676
"(3349, 687)",-7.450168150069167,0.1523963743762094
"(4337, 1280)",-7.7919671466064955,0.20584597085935177
"(2641, 2281)",-8.124999871629567,0.15675400689240193
"(3855, 338)",-8.137577133231915,0.1551789769655023
"(928, 576)",-7.833379541396152,0.19889087656529517
"(2519, 442)",-8.107034602587186,0.15903564874033702
"(3305, 607)",-8.197533634913452,0.1479164961113385
"(610, 1822)",-7.870796094960006,0.19283097131005875
"(980, 1992)",-8.007969923742829,0.17231828428684579
"(834, 1335)",-8.115874731298307,0.1579082082965578
"(3876, 1101)",-7.8145716593914525,0.2020167455405897
"(471, 2113)",-8.14884896398451,0.15378284368812542
"(1011, 1956)",-8.075483639556138,0.1631352341692431
"(3135, 2278)",-7.67075431698478,0.22779652564209127
"(4072, 2139)",-7.783215083234159,0.20735011990407673
"(3886, 457)",-8.109507463384245,0.15871934302519144
"(1907, 548)",-7.806717481392136,0.20333822235259605
"(2971, 372)",-7.986390110247575,0.17537600994406463
"(1463, 1299)",-7.714531018413224,0.21958486348395337
"(3146, 2113)",-7.958849741373298,0.1793676292471473
"(1635, 1041)",-7.681351330153712,0.2257782533541855
"(382, 886)",-8.01692938990123,0.17106652969967973
"(3693, 2070)",-7.900704403637501,0.1881350460690026
"(2661, 1262)",-7.854308560754204,0.19547553870990383
"(3097, 2307)",-7.769623758028795,0.20971012293215963
"(793, 1353)",-7.9216763823947325,0.18491853024605845
"(3954, 1840)",-7.906094491130116,0.1873024158468848
"(3477, 574)",-7.54305348563482,0.2537322363500374
"(4009, 1876)",-7.726941537208605,0.21731649565903707
"(1452, 296)",-7.699167393989212,0.22242914979757084
"(2674, 790)",-7.933642893504816,0.18311085013375086
"(3088, 399)",-7.7569443299289045,0.21193857965451054
"(1965, 599)",-7.771434828014625,0.20939393939393938
"(1552, 496)",-7.823467637168344,0.20053148469093007
"(711, 1872)",-7.734796850715933,0.21589406049208587
"(2929, 690)",-7.787275736500403,0.20665073913692697
"(1224, 844)",-7.743440078510941,0.21434079601990047
"(4192, 1106)",-7.781749522330294,0.20760318174996248
"(1490, 505)",-7.772092650636843,0.20927922471229557
"(3129, 1794)",-7.624102335154214,0.23691973969631236
"(1899, 1918)",-7.6486003179447195,0.23208008143875128
"(1960, 1834)",-7.426921443127531,0.28011861408802413
"(694, 440)",-7.901799153373743,0.18796560064498788
"(4299, 1606)",-7.687055892747656,0.22469990993203962
"(3427, 2020)",-7.416478317050187,0.28263262947788637
"(693, 1322)",-7.709579062345835,0.22049723313818267
"(1007, 448)",-7.732497373249085,0.2163093835885355
"(3729, 1331)",-7.426130378462474,0.28030820491461894
"(1849, 1112)",-7.6999583305932795,0.22228173800469292
"(1934, 2167)",-7.756110431113136,0.21208605455243948
"(1490, 2201)",-7.384767288737981,0.29041644131963223
"(2653, 518)",-7.770447346177788,0.20956627236882014
"(2093, 1956)",-7.621933408154266,0.23735350373848024
"(2717, 2223)",-7.6778603578576305,0.2264409578860446
"(4043, 2319)",-6.907933463561967,0.2717200872629636
"(1144, 932)",-7.673728321314249,0.2272281167108753
"(1613, 594)",-7.58847925550111,0.24415493589168832
"(2267, 1196)",-7.699694749073533,0.2223308514082227
"(3965, 1918)",-7.713316839289432,0.2198081841432225
"(1179, 743)",-7.6892761221515755,0.22428174538323253
"(4279, 920)",-7.276683919646386,0.31872147209941454
"(2221, 363)",-7.648692419247295,0.23206209178047332
"(2984, 473)",-7.55476509256672,0.2512245652978173
"(2360, 1170)",-7.463465960993284,0.2715090543259558
"(564, 1575)",-7.715570663757351,0.21939384271813686
"(2226, 723)",-7.7463901068884535,0.21381347391270641
"(4318, 477)",-7.6393505073156,0.2338945927446954
"(2181, 2129)",-7.690871880721323,0.2239817232375979
"(3281, 889)",-7.011928530833366,0.279225373589509
"(2757, 1951)",-7.529056974697518,0.2567648451557913
"(1777, 1559)",-7.6617831117250645,0.22952061682869593
"(3171, 2278)",-7.239065762108167,0.32925284512617514
"(3506, 2289)",-7.408119853101702,0.2846622909167902
"(2116, 1801)",-7.660326236357514,0.2298019469620678
"(2796, 1119)",-7.583698632776949,0.24514409221902014
"(1673, 1161)",-7.551143956787325,0.25199703043801036
"(3585, 1575)",-7.607585309186534,0.24024491234252487
"(1674, 1626)",-7.22037140179836,0.3346237100427889
"(508, 697)",-7.4955378130355665,0.2641883180308654
"(995, 2061)",-7.374027270228202,0.29310465370329913
"(1991, 951)",-7.313543953692845,0.30875028875028876
"(760, 280)",-7.589744058786026,0.24389396381873543
"(1637, 818)",-7.447289386265211,0.2752843868069029
"(437, 883)",-7.529468199474618,0.2566751869733977
"(3404, 921)",-7.620611067245564,0.2376183844011142
"(2814, 813)",-6.937233313153291,0.3303560927801372
"(2573, 2058)",-7.2826353007796065,0.31708853238265006
"(1859, 1537)",-7.345425149520501,0.30039479587258866
"(2109, 2199)",-7.435921483925684,0.2779713135899288
"(2068, 2231)",-7.572395433460519,0.2475002275002275
"(1023, 966)",-7.529468199474618,0.2566751869733977
"(2546, 1782)",-7.404204796259959,0.2856183595410115
"(4007, 2279)",-7.217087095170687,0.3355768745266347
"(3485, 267)",-7.32439953453674,0.3058776443682104
"(1521, 512)",-7.440058904821649,0.27699013157894736
"(4001, 1148)",-7.414080413114998,0.2832133080648558
"(689, 924)",-7.51268774094015,0.2603615037015672
"(3312, 2012)",-7.317924199062945,0.30758771425284714
"(4109, 359)",-7.143079299327441,0.35783783783783785
"(2878, 2191)",-7.284697723253753,0.3165247301624956
"(3471, 2201)",-7.4295166049460395,0.2794976126219639
"(1326, 2000)",-7.331823400758241,0.30392958546280524
"(1550, 1850)",-7.3389518732608074,0.3020715333408553
"(2401, 1950)",-7.1143863051486065,0.3668849729429721
"(4193, 2216)",-7.165298711742919,0.3509943068979213
"(2395, 1322)",-7.045990441208673,0.38943992906753366
"(1397, 1891)",-7.377461460792494,0.2922421866492432
"(3579, 636)",-7.323032968963304,0.30623769177925353
"(1897, 263)",-7.080882240777234,0.37775615340583857
"(2551, 1377)",-7.255064129240822,0.32472940029254027
"(2900, 1202)",-7.201071367363076,0.34026646169613123
"(523, 820)",-7.226366948284978,0.3328911138923655
"(1854, 1654)",-7.194514379670215,0.34220646990591574
"(3989, 455)",-7.070265236141896,0.38127167630057807
"(2101, 2006)",-7.286370561589047,0.31606821411653246
"(1284, 1753)",-7.25055514133104,0.32599755201958386
"(2886, 1709)",-7.2518832591783084,0.32562347188264057
"(3095, 1850)",-7.05398323499614,0.3867302332404283
"(1806, 2087)",-7.047914084773607,0.38878595663077153
"(1236, 759)",-7.316424390552653,0.3079852551549361
"(3315, 669)",-7.171319445497014,0.34916392363396975
"(3896, 1204)",-7.10970607509009,0.36838350055741365
"(1316, 442)",-7.1583767414482224,0.35311125916055963
"(3718, 972)",-7.14454551994832,0.35738191632928473
"(258, 2185)",-7.1401409045576045,0.3587533875338753
"(3735, 1818)",-7.050952900617602,0.3877552221241542
"(1325, 2157)",-7.083520349054485,0.3768879371877231
"(556, 407)",-6.982391999643729,0.41172673143215294
"(2449, 578)",-7.024602318001136,0.39678975131876415
"(2599, 1721)",-7.141904895530127,0.3582034632034632
"(3064, 1841)",-6.865197055624032,0.45637633094780944
"(449, 2228)",-7.054301726111584,0.3866226719460331
"(4178, 966)",-6.812583828334695,0.4780432392817882
"(3830, 937)",-7.139552270113933,0.3589370932754881
"(4057, 1085)",-6.9428937297786,0.4262398440038999
"(3011, 275)",-7.265469153397314,0.3218230109863576
"(3509, 2154)",-6.950979223745636,0.4232258064516129
"(3857, 1973)",-7.005119302489,0.40361209145312266
"(1055, 799)",-6.934036312367061,0.42956749672346006
"(2012, 1249)",-6.937765232591426,0.4281632653061224
"(725, 1040)",-6.947471187722041,0.42453074433656957
"(2135, 1749)",-7.035024944477753,0.3931900283624422
"(3373, 928)",-7.178443724370849,0.3470111183780249
"(472, 269)",-7.034052062508751,0.39352457791722695
"(3701, 1194)",-6.782327285480996,0.4909871891484552
"(615, 1096)",-7.1911507950884666,0.34320620555914677
"(2506, 1668)",-7.187072511692456,0.3444225279003374
"(4357, 2251)",-6.952729000441451,0.4225764895330113
"(1081, 979)",-7.189746220242181,0.34362459546925567
"(3669, 1975)",-7.090934709611506,0.3744590954203885
"(499, 445)",-7.059384918798459,0.3849102320829076
"(981, 1781)",-7.041488640929256,0.39097492209526635
"(1035, 2204)",-6.946416562865192,0.4249238743116295
"(2776, 2101)",-6.875758408219422,0.452152117545376
"(3889, 932)",-7.03470074734045,0.393301478273854
"(3932, 1581)",-6.919171568017871,0.43521341969772465
"(261, 1944)",-7.0587508196682975,0.38512341171315906
"(2054, 1657)",-6.72262407682285,0.5176114649681529
"(724, 651)",-6.8826805027569815,0.44940570250772927
"(3892, 1572)",-6.965935941703904,0.4177091950365892
"(1643, 1741)",-6.885660226629989,0.44822884549503256
"(1501, 831)",-6.9379424811763855,0.42809663728370884
"(2940, 316)",-6.80639955394869,0.4806596646397642
"(303, 2089)",-7.108040486833408,0.36891835310537335
"(2044, 1164)",-7.076211061028927,0.37929864903707966
"(2199, 616)",-6.751203344504798,0.5046839860411012
"(2930, 774)",-7.079016179811278,0.37837155963302754
"(251, 256)",-6.869358418994313,0.36776560598156843
"(2275, 2264)",-6.919892628117266,0.43493775933609957
"(876, 1882)",-6.999942360842386,0.405445575084798
"(3603, 594)",-6.7102353999880595,0.5233219247030401
"(2382, 405)",-6.836585497343947,0.4680286738351255
"(1658, 487)",-7.0134175407189865,0.4006913354652048
"(2634, 2040)",-6.9211533321542955,0.43445623342175066
"(1816, 2218)",-6.742750703877917,0.5084720593982024
"(1111, 649)",-6.920613209663381,0.4346624647536905
"(3138, 519)",-6.794126670839802,0.48589638464405516
"(3314, 2069)",-6.793114518063268,0.4863309084126096
"(3563, 1605)",-6.834832896148608,0.46875246813857474
"(3158, 2046)",-7.14395926928356,0.3575641371860654
"(3259, 561)",-6.936878555363904,0.4284967320261438
"(4129, 2026)",-6.768949644284309,0.49682624451649826
"(1962, 373)",-6.892704467795548,0.4454594962559565
"(4352, 1964)",-6.770605045717643,0.4960997905160922
"(1130, 1913)",-6.818139508171278,0.47570543200874954
"(1771, 678)",-7.10728255576964,0.36916201117318437
"(4078, 1844)",-6.849544469342199,0.46271294492650966
"(559, 2117)",-6.665840616830451,0.5443288590604027
"(1784, 822)",-6.809795291328243,0.4792211609110948
"(2275, 1644)",-6.8199192418987735,0.47495905368516833
"(3605, 676)",-6.958483337328223,0.42044850232260134
"(1174, 940)",-6.9213333132910115,0.4343875352229405
"(1475, 1124)",-6.802190103406767,0.48244913059563455
"(4063, 1522)",-6.927613930286734,0.43199736321687543
"(1918, 1518)",-6.870113319914529,0.45440486533449176
"(2673, 1943)",-6.938651186296038,0.42783034257748775
"(3435, 1838)",-6.749307229568087,0.5055311711011847
"(4161, 1964)",-6.898233606572649,0.4432983406705046
"(1772, 1798)",-6.878195527547447,0.4511831666091756
"(1792, 1643)",-6.79856896762737,0.48399406087602076
"(3860, 1152)",-6.931543231582188,0.4305090311986864
"(4098, 1573)",-6.713945084127783,0.5216051364365971
"(599, 2287)",-6.945184871065763,0.4253834927841738
"(490, 2278)",-6.917547429787177,0.43583499667332004
"(1048, 1996)",-6.7130733568992955,0.5220080321285141
"(1968, 2252)",-6.820511838768624,0.47471080392870135
"(599, 2154)",-6.902819810083338,0.4415140785702243
"(1396, 1633)",-6.705415739832995,0.5255611729019212
"(2341, 1359)",-6.781918114115777,0.4911647191858274
"(1304, 1111)",-6.914110694241213,0.4371533455698315
"(1435, 2193)",-6.670838783536409,0.5419206680584552
"(4246, 925)",-6.807399403181114,0.48023564064801183
"(273, 1882)",-6.898601216599781,0.44315504400812455
"(428, 347)",-6.671292023453137,0.5417028380634391
"(1069, 1017)",-6.73080535205559,0.5138759383642829
"(764, 1248)",-6.857589834419429,0.45944454209878716
"(1681, 787)",-6.918630458510155,0.43542040545031574
"(405, 502)",-6.808598008128705,0.4797278411180581
"(1940, 2021)",-6.805599011088638,0.48099944680066387
"(3218, 524)",-6.77822861619396,0.492768532526475
"(4309, 432)",-6.6854730856100595,0.5349330587023687
"(2805, 1506)",-6.742962823875613,0.5083766360617308
"(2798, 2203)",-6.83755794362907,0.4676275738585497
"(890, 743)",-6.732948112184191,0.5129022082018927
"(3157, 484)",-6.563223869195436,0.5963024435223606
"(2242, 2049)",-6.761677438900339,0.5000307219662058
"(1304, 2068)",-6.939005365455845,0.4276973255055447
"(1216, 2175)",-6.837752328412465,0.46754744002864307
"(4045, 1183)",-6.718943978497274,0.5193009786299181
"(3538, 939)",-6.6562342932408765,0.5489885738468049
"(770, 1861)",-6.789259709213386,0.4879895170348184
"(2548, 1005)",-6.5833100039057335,0.5857388549445576
"(1428, 837)",-6.704537134723543,0.5259704513256426
"(2886, 1136)",-6.736367756600895,0.5113522012578616
"(355, 772)",-6.780074932338994,0.49196526335661694
"(2936, 385)",-6.618839767885541,0.5675251861585633
"(4223, 2283)",-6.636528921047576,0.5586770092652447
"(1368, 2289)",-6.719594314668116,0.519001996007984
"(3471, 1009)",-6.686367247657516,0.534509158263017
"(916, 2089)",-6.7399893660573245,0.5097159647404506
"(2801, 1975)",-6.69792483532901,0.5290612909794339
"(3577, 1114)",-6.655544863941751,0.5493245818335803
"(3413, 615)",-6.648857713156435,0.5525948018747338
"(1455, 439)",-6.653473945470763,0.5503351718285957
"(1715, 808)",-6.68031731403269,0.5373841059602649
"(2630, 571)",-6.746139660838562,0.5069497467861317
"(2010, 346)",-6.65531495685677,0.549436679373147
